Country,Fractional_Count,Pct_of_Papers
China,35145.21,50.78
United States,5553.77,8.02
India,4755.24,6.87
Russia,2916.86,4.21
Iran,1641.42,2.37
Japan,1584.77,2.29
United Kingdom,1347.89,1.95
South Korea,1092.82,1.58
Saudi Arabia,1064.2,1.54
Germany,1044.73,1.51
Italy,858,1.24
Egypt,772.59,1.12
France,711.42,1.03
Pakistan,689.86,1
Canada,594.02,0.86
Malaysia,583.51,0.84
Australia,575.9,0.83
Turkey,553.42,0.8
Iraq,524.05,0.76
Taiwan,513.56,0.74
Spain,502.61,0.73
Brazil,366.01,0.53
Netherlands,313.8,0.45
Ethiopia,246.23,0.36
Uzbekistan,237.98,0.34
Poland,194.76,0.28
Thailand,187.99,0.27
Sweden,183.53,0.27
Switzerland,171.68,0.25
Indonesia,169.25,0.24
Greece,166.96,0.24
Singapore,156.8,0.23
Romania,153.15,0.22
South Africa,150.7,0.22
Kazakhstan,147.15,0.21
Bangladesh,146.3,0.21
Vietnam,125.48,0.18
Israel,119.34,0.17
Belgium,118.24,0.17
Nigeria,116.42,0.17
Denmark,110.69,0.16
Portugal,107.44,0.16
Serbia,106.77,0.15
Ireland,99.25,0.14
Malta,99.01,0.14
Czech Republic,97.5,0.14
Mexico,96.68,0.14
Jordan,91.88,0.13
Norway,90.03,0.13
Tunisia,88.05,0.13
United Arab Emirates,74.84,0.11
Ukraine,72.12,0.1
Algeria,69.45,0.1
Philippines,65.95,0.1
Finland,64.2,0.09
Hong Kong,63.18,0.09
Austria,61.93,0.09
New Zealand,60.3,0.09
Colombia,59.53,0.09
Hungary,50.81,0.07
Morocco,50.42,0.07
Argentina,49.63,0.07
Tajikistan,47.17,0.07
Ghana,41.85,0.06
Azerbaijan,41.15,0.06
Lebanon,40.2,0.06
Nepal,38.51,0.06
Oman,37.42,0.05
Croatia,36.06,0.05
Kyrgyzstan,31.83,0.05
Kuwait,29.23,0.04
Chile,29.2,0.04
Bahrain,27.25,0.04
Qatar,26.13,0.04
Sudan,26.04,0.04
Slovakia,22.79,0.03
Yemen,22.74,0.03
Peru,21.76,0.03
Senegal,20.32,0.03
Belarus,20.09,0.03
Sri Lanka,19.88,0.03
Kenya,18.79,0.03
Cameroon,18.35,0.03
Cyprus,16.12,0.02
Slovenia,15.42,0.02
Lithuania,14.88,0.02
Georgia,14.03,0.02
Afghanistan,13.89,0.02
Ecuador,13.54,0.02
Bulgaria,12.26,0.02
Armenia,10.92,0.02
Burundi,9.67,0.01
Venezuela,9.67,0.01
Honduras,9.56,0.01
Democratic Republic Of The Congo,9.38,0.01
Gabon,9.05,0.01
Libya,8.55,0.01
Latvia,7.5,0.01
Macau,7.02,0.01
Syria,6.67,0.01
Palestine,6.61,0.01
Tanzania,6.57,0.01
Albania,6.54,0.01
Botswana,5.8,0.01
Mongolia,5.78,0.01
Estonia,5.75,0.01
Trinidad & Tobago,5.7,0.01
Myanmar (Formerly Burma),5.43,0.01
Uganda,5.32,0.01
Bosnia & Herzegovina,5.2,0.01
Niger,5.18,0.01
Kosovo,5.12,0.01
Brunei (Brunei Darussalam),4.9,0.01
Cuba,4.83,0.01
Cambodia,4.33,0.01
Gambia,4.01,0.01
Réunion Island,4,0.01
Montenegro,3.84,0.01
Moldova,3.42,0
Luxembourg,3.38,0
Rwanda,3.32,0
North Korea,3,0
Chad,3,0
North Macedonia (Formerly Macedonia),2.96,0
Iceland,2.82,0
Malawi,2.78,0
Aruba,2.78,0
Republic Of The Congo (Congo-Brazzaville),2.73,0
Zambia,2.6,0
Guatemala,2.17,0
Costa Rica,2.08,0
Panama,2.08,0
Mali,2.07,0
Uruguay,2,0
Eswatini (Formerly Swaziland),1.92,0
Maldives,1.9,0
Papua New Guinea,1.78,0
French Polynesia,1.71,0
Grenada,1.68,0
Zimbabwe,1.53,0
Puerto Rico,1.33,0
Bermuda,1.33,0
Bolivia,1.17,0
Laos,1.17,0
Cote D'Ivoire,1.04,0
Togo,1,0
Mauritius,1,0
Paraguay,1,0
Barbados,1,0
Benin,0.96,0
French Guiana,0.84,0
Cayman Islands,0.83,0
Central African Republic,0.75,0
Dominican Republic,0.75,0
Lesotho,0.75,0
Madagascar,0.7,0
Fiji,0.7,0
Burkina Faso,0.67,0
Sint Maarten,0.59,0
Anguilla,0.5,0
Sierra Leone,0.5,0
Mozambique,0.5,0
Turkmenistan,0.5,0
Dominica,0.5,0
Comoros,0.5,0
St. Kitts & Nevis,0.5,0
Liberia,0.5,0
Eritrea,0.5,0
Belize,0.35,0
Angola,0.34,0
Gaza Strip,0.33,0
Guyana,0.33,0
Cook Islands,0.33,0
Somalia,0.33,0
Faroe Islands,0.33,0
Haiti,0.33,0
Namibia,0.33,0
Samoa,0.31,0
East Timor,0.25,0
Jamaica,0.25,0
El Salvador,0.14,0
Saint Vincent & The Grenadines,0.14,0
