Country,Region,Count
China,Asia-Pacific (Pew),37190
United States,North America (Pew),7305
India,Asia-Pacific (Pew),6007
Russia,Europe (Pew),3143
Saudi Arabia,Middle East-North Africa (Pew),2353
Iran,Asia-Pacific (Pew),2086
United Kingdom,Europe (Pew),2065
Japan,Asia-Pacific (Pew),1860
Germany,Europe (Pew),1530
South Korea,Asia-Pacific (Pew),1487
Pakistan,Asia-Pacific (Pew),1479
Italy,Europe (Pew),1236
Egypt,Middle East-North Africa (Pew),1223
France,Europe (Pew),1111
Malaysia,Asia-Pacific (Pew),958
Canada,North America (Pew),944
Australia,Asia-Pacific (Pew),933
Iraq,Middle East-North Africa (Pew),876
Turkey,Asia-Pacific (Pew),782
Spain,Europe (Pew),758
Taiwan,Asia-Pacific,733
Ethiopia,Sub-Saharan Africa (Pew),515
Netherlands,Europe (Pew),494
Brazil,Latin America-Caribbean (Pew),486
Switzerland,Europe (Pew),334
Poland,Europe (Pew),333
Sweden,Europe (Pew),323
Thailand,Asia-Pacific (Pew),322
Bangladesh,Asia-Pacific (Pew),316
Uzbekistan,Asia-Pacific (Pew),287
Vietnam,Asia-Pacific (Pew),281
South Africa,Sub-Saharan Africa (Pew),269
Indonesia,Asia-Pacific (Pew),249
Greece,Europe (Pew),247
Singapore,Asia-Pacific (Pew),238
Romania,Europe (Pew),211
Belgium,Europe (Pew),209
Nigeria,Sub-Saharan Africa (Pew),208
Kazakhstan,Asia-Pacific (Pew),201
Jordan,Middle East-North Africa (Pew),197
United Arab Emirates,Middle East-North Africa (Pew),196
Denmark,Europe (Pew),194
Czech Republic,Europe,179
Norway,Europe (Pew),174
Israel,Middle East-North Africa (Pew),168
Serbia,Europe (Pew),163
Portugal,Europe (Pew),161
Tunisia,Middle East-North Africa (Pew),157
Ireland,Europe (Pew),154
Mexico,Latin America-Caribbean (Pew),151
Philippines,Asia-Pacific (Pew),127
Hong Kong,Asia-Pacific (Pew),124
Finland,Europe (Pew),121
Austria,Europe (Pew),115
Colombia,Latin America-Caribbean (Pew),111
New Zealand,Asia-Pacific (Pew),109
Malta,Europe (Pew),106
Ukraine,Europe (Pew),105
Lebanon,Middle East-North Africa (Pew),102
Hungary,Europe (Pew),102
Algeria,Middle East-North Africa (Pew),101
Oman,Middle East-North Africa (Pew),100
Ghana,Sub-Saharan Africa (Pew),94
Nepal,Asia-Pacific (Pew),75
Morocco,Middle East-North Africa (Pew),75
Argentina,Latin America-Caribbean (Pew),74
Azerbaijan,Asia-Pacific (Pew),71
Chile,Latin America-Caribbean (Pew),69
Bahrain,Middle East-North Africa (Pew),67
Yemen,Middle East-North Africa (Pew),64
Kuwait,Middle East-North Africa (Pew),63
Qatar,Middle East-North Africa (Pew),63
Peru,Latin America-Caribbean (Pew),58
Croatia,Europe (Pew),56
Sudan,Middle East-North Africa (Pew),55
Tajikistan,Asia-Pacific (Pew),53
Slovakia,Europe (Pew),51
Kyrgyzstan,Asia-Pacific (Pew),50
Senegal,Sub-Saharan Africa (Pew),47
Belarus,Europe (Pew),44
Ecuador,Latin America-Caribbean (Pew),40
Kenya,Sub-Saharan Africa (Pew),39
Afghanistan,Asia-Pacific (Pew),38
Cameroon,Sub-Saharan Africa (Pew),38
Georgia,Europe (Pew),30
Sri Lanka,Asia-Pacific (Pew),29
Cyprus,Asia-Pacific (Pew),29
Democratic Republic Of The Congo,Sub-Saharan Africa,25
Lithuania,Europe (Pew),25
Honduras,Latin America-Caribbean (Pew),23
Slovenia,Europe (Pew),21
Burundi,Sub-Saharan Africa (Pew),20
Libya,Middle East-North Africa (Pew),20
Bulgaria,Europe (Pew),18
Armenia,Asia-Pacific (Pew),18
Palestine,Middle East-North Africa (Pew),17
Tanzania,Sub-Saharan Africa (Pew),17
Macau,Asia-Pacific,17
Venezuela,Latin America-Caribbean (Pew),16
Gabon,Sub-Saharan Africa (Pew),16
Botswana,Sub-Saharan Africa (Pew),16
Niger,Sub-Saharan Africa (Pew),15
Estonia,Europe (Pew),13
Albania,Europe (Pew),13
Zambia,Sub-Saharan Africa (Pew),13
Uganda,Sub-Saharan Africa (Pew),12
Iceland,Europe (Pew),11
Myanmar (Formerly Burma),Asia-Pacific,11
Bosnia & Herzegovina,Europe,11
Rwanda,Sub-Saharan Africa (Pew),10
Syria,Middle East-North Africa (Pew),10
Trinidad & Tobago,Latin America-Caribbean,9
Cuba,Latin America-Caribbean (Pew),9
Montenegro,Europe (Pew),9
Mongolia,Asia-Pacific (Pew),9
Gambia,Sub-Saharan Africa (Pew),9
Luxembourg,Europe (Pew),9
Latvia,Europe (Pew),8
Aruba,Latin America-Caribbean (Pew),8
Kosovo,Europe,7
Cambodia,Asia-Pacific (Pew),7
Grenada,Latin America-Caribbean (Pew),7
Papua New Guinea,Asia-Pacific (Pew),6
Mali,Sub-Saharan Africa (Pew),6
Uruguay,Latin America-Caribbean (Pew),6
Moldova,Europe (Pew),6
French Polynesia,Asia-Pacific (Pew),5
Malawi,Sub-Saharan Africa (Pew),5
Eswatini (Formerly Swaziland),Sub-Saharan Africa,5
North Macedonia (Formerly Macedonia),Europe,5
Guatemala,Latin America-Caribbean (Pew),5
Chad,Sub-Saharan Africa (Pew),4
Cote D'Ivoire,Sub-Saharan Africa (Pew),4
Costa Rica,Latin America-Caribbean (Pew),4
Zimbabwe,Sub-Saharan Africa (Pew),4
Panama,Latin America-Caribbean (Pew),4
North Korea,Asia-Pacific (Pew),4
Benin,Sub-Saharan Africa (Pew),4
Maldives,Asia-Pacific (Pew),4
French Guiana,Latin America-Caribbean (Pew),4
Puerto Rico,Latin America-Caribbean (Pew),3
Bolivia,Latin America-Caribbean (Pew),3
Bermuda,North America (Pew),3
Burkina Faso,Sub-Saharan Africa (Pew),3
Laos,Asia-Pacific (Pew),3
Cayman Islands,Latin America-Caribbean (Pew),2
Belize,Latin America-Caribbean (Pew),2
Barbados,Latin America-Caribbean (Pew),2
Anguilla,Latin America-Caribbean (Pew),2
Angola,Sub-Saharan Africa (Pew),2
Dominican Republic,Latin America-Caribbean (Pew),2
Central African Republic,Sub-Saharan Africa (Pew),2
Sint Maarten,Latin America-Caribbean,2
Lesotho,Sub-Saharan Africa (Pew),2
Samoa,Asia-Pacific (Pew),2
Madagascar,Sub-Saharan Africa (Pew),2
Fiji,Asia-Pacific (Pew),2
Turkmenistan,Asia-Pacific (Pew),1
Haiti,Latin America-Caribbean (Pew),1
Guyana,Latin America-Caribbean (Pew),1
Liberia,Sub-Saharan Africa (Pew),1
Gaza Strip,MENA,1
Mauritius,Sub-Saharan Africa (Pew),1
Mozambique,Sub-Saharan Africa (Pew),1
Namibia,Sub-Saharan Africa (Pew),1
Faroe Islands,Europe (Pew),1
Eritrea,Sub-Saharan Africa (Pew),1
Somalia,Sub-Saharan Africa (Pew),1
Paraguay,Latin America-Caribbean (Pew),1
El Salvador,Latin America-Caribbean (Pew),1
Togo,Sub-Saharan Africa (Pew),1
East Timor,Asia-Pacific (Pew),1
Dominica,Latin America-Caribbean (Pew),1
Saint Vincent & The Grenadines,Latin America-Caribbean,1
Cook Islands,Asia-Pacific (Pew),1
Sierra Leone,Sub-Saharan Africa (Pew),1
Comoros,Sub-Saharan Africa (Pew),1
St. Kitts & Nevis,Latin America-Caribbean,1
Jamaica,Latin America-Caribbean (Pew),1
