Year,Count
1970,7
1971,1
1972,0
1973,0
1974,0
1975,2
1976,0
1977,31
1978,0
1979,5
1980,14
1981,4
1982,5
1983,13
1984,8
1985,15
1986,29
1987,14
1988,7
1989,16
1990,20
1991,24
1992,27
1993,31
1994,24
1995,26
1996,27
1997,47
1998,72
1999,54
2000,43
2001,40
2002,127
2003,101
2004,145
2005,149
2006,226
2007,341
2008,466
2009,1206
2010,5044
2011,4968
2012,1236
2013,1510
2014,1190
2015,1752
2016,1924
2017,1896
2018,2815
2019,3228
2020,3641
2021,5127
2022,6435
2023,13519
2024,6459
2025,5259
2026,742
