Subject,Avg_Years,N
Medicine - Psychiatry,13.307762338603032,103
Medicine - Anesthesia/Anaesthesia,8.191978228663128,833
Religion,6.384992254764221,76
Medicine - Gastroenterology,5.332283037126201,696
Medicine - Otorhinolaryngology,5.152337588905752,138
Medicine - Obstetrics/Gynecology,4.841143228206883,624
Biochemistry,4.434495429377965,8082
Medicine - Geriatric,4.392813141683779,160
Medicine - Pharmacology,4.3176328120886645,195
Philosophy,4.2855363034400025,89
Medicine - Cardiology,4.020665909240941,394
Psychology,3.9146051302108793,315
Medicine – Dentistry,3.8485730823490054,311
Biology – Cellular,3.840766443101372,3530
Biology – Cancer,3.7844843320081174,4369
Medicine - Endocrinology,3.5816860872648704,166
Medicine - Urology/Nephrology,3.529866070060376,67
Anatomy/Physiology,3.529858920262281,783
Microbiology,3.4290469096605105,714
History - Europe,3.3527584978023652,121
Anthropology,3.195827137765819,58
Zoology,3.1463302269257096,208
Biology – Molecular,3.1007358348422964,914
Medicine - Oncology,3.0633417443923436,402
Parasitology,3.0184804928131417,66
