RetractionYear,mean,median,count
1990,1.312662559890486,0.8952772073921971,20
1991,1.8178188455395847,1.1731690622861053,24
1992,1.429969325930996,1.2484599589322383,27
1993,2.1959329668145986,1.7768651608487338,31
1994,3.8124572210814516,2.0835044490075294,24
1995,1.672405623124309,1.3059548254620124,26
1996,1.746343194666261,1.2484599589322383,27
1997,2.5921039218256223,1.9356605065023955,47
1998,2.8320404593505213,2.187542778918549,72
1999,2.8670874844728367,2.0424366872005475,54
2000,1.9277653088836892,0.7529089664613279,43
2001,2.4896646132785762,1.2539356605065022,40
2002,0.9976340226465531,0.5010266940451745,127
2003,2.0822724161533195,1.0855578370978782,100
2004,1.405430070727812,0.7419575633127995,144
2005,1.8799296243723844,0.7282683093771389,149
2006,1.909033090439934,0.9760438056125942,226
2007,1.0932640818134236,0.4996577686516085,340
2008,1.4515015584011186,0.5557837097878165,466
2009,1.223533257735961,0.17248459958932238,1206
2010,0.44916385363896955,0.14784394250513347,5044
2011,0.6084096327378177,0.11225188227241616,4968
2012,2.8745860551247207,0.9541409993155373,1236
2013,3.068095425885382,1.002053388090349,1510
2014,2.6871453304114254,1.326488706365503,1190
2015,3.145793679815226,1.375770020533881,1752
2016,3.2565824393339793,1.6098562628336757,1924
2017,3.043363744270874,1.7467488021902806,1896
2018,2.9793078294994912,1.1225188227241616,2815
2019,3.7170986594381974,3.297741273100616,3224
2020,3.6451262899106327,1.6344969199178645,3609
2021,2.6893331021085642,1.4154688569472964,5127
2022,3.229070997448821,1.8781656399726214,6435
2023,2.1825879555323535,1.4099931553730323,13519
2024,3.5479498493048185,2.2614647501711156,6459
2025,3.3690001000859127,1.839835728952772,5259
2026,4.401449363597285,2.7802874743326487,742
