Count,count
Journal of Intelligent & Fuzzy Systems,1565
PLoS One,1488
2011 International Conference on E-Business and E-Government (ICEE),1280
2011 5th International Conference on Bioinformatics and Biomedical Engineering,1084
Journal of Healthcare Engineering,1074
Computational and Mathematical Methods in Medicine,1067
Computational Intelligence and Neuroscience,1030
BioMed Research International,955
Security and Communication Networks,949
Journal of Physics: Conference Series,878
Wireless Communications and Mobile Computing,799
Arabian Journal of Geosciences,781
Evidence-Based Complementary and Alternative Medicine,756
E3S Web of Conferences,580
Cochrane Database of Systematic Reviews,574
Soft Computing,556
The International Journal of Electrical Engineering & Education,526
The Journal of Biological Chemistry,485
Journal of Sensors,464
2010 International Conference on Computer Application and System Modeling (ICCASM 2010),441
